time,pt_loc_x[0],pt_loc_x[1],pt_loc_y[0],pt_loc_y[1]
0.0,4.46153846154,-5.53846153846,0.0,0.0
0.550681318682,4.46146876871918,-5.53836028300642,0.007767761961777,-0.0148185543560796
1.101362637364,4.46087601350622,-5.53820658801335,0.0431702556412679,-0.068039323121366
1.652043956046,4.46006519682517,-5.53635223855247,0.0930758741638952,-0.134404116645448
2.202725274728,4.45978749666848,-5.53237326877728,0.147138560111846,-0.202138152274892
2.75340659341,4.45964052121374,-5.52863787158017,0.201259056954885,-0.269651676704688
3.304087912092,4.45858820277437,-5.52589363228345,0.255355217993629,-0.337483447118584
3.854769230774,4.45648179733474,-5.52341362222346,0.309814537304936,-0.405562998078072
4.405450549456,4.45359014463882,-5.52061132914339,0.364579954116253,-0.473787165985417
4.956131868138,4.45016708477314,-5.51713455794112,0.419519266267715,-0.542164894357316
5.50681318682,4.44638640519541,-5.51280759227114,0.474543888609394,-0.610779096510609
6.057494505502,4.44234143115388,-5.50762290588842,0.529627035992303,-0.679763242262585
6.608175824184,4.43807350878977,-5.50164635425664,0.584797004946979,-0.74927708601184
7.158857142866,4.4335553429083,-5.49495246552338,0.640135725519449,-0.819481133767693
7.709538461548,4.42870002569492,-5.48759048685097,0.695760675204937,-0.890522428285312
8.26021978023,4.42335892394314,-5.47956566696409,0.751804985626795,-0.962511883606862
8.810901098912,4.41733196921268,-5.47074949471337,0.808386056566248,-1.03548353519236
9.361582417594,4.41033962933261,-5.46101715097379,0.865581802483915,-1.10943588940894
9.912263736276,4.4020207379571,-5.4501283630757,0.923414528628244,-1.18423356467427
10.462945054958,4.39210995991811,-5.43783859312499,0.981822952805687,-1.25967840606288
11.01362637364,4.38044084445724,-5.42380290476961,1.04069427448375,-1.33545689811774
11.564307692322,4.36688530004333,-5.40771143375812,1.09984594393669,-1.41123474291798
12.114989011004,4.35140716752807,-5.38935279613778,1.15909421954824,-1.48669822243111
12.665670329686,4.33413943816821,-5.36869472850801,1.21827845194458,-1.56160877341412
13.216351648368,4.3152823697925,-5.34588335996014,1.27726571336927,-1.63583775222129
13.76703296705,4.29503781634453,-5.32115969165603,1.33596025183412,-1.70935530486696
14.317714285732,4.27362778651816,-5.29478584028464,1.39431399506698,-1.7822046337008
14.868395604414,4.25131076282915,-5.26698428682188,1.45233237687949,-1.85447216871112
15.419076923096,4.22833764970585,-5.23791289881675,1.51005847835109,-1.92625995039615
15.969758241778,4.20487357968236,-5.20770685509041,1.56755041970386,-1.99768598192696
16.52043956046,4.18095354338951,-5.17645738534803,1.62486160356516,-2.06885410894122
17.071120879142,4.15649695619314,-5.14423979912656,1.68202925124852,-2.13984277515563
17.621802197824,4.13136997402186,-5.11109983947213,1.73907060388601,-2.21070065990932
18.172483516506,4.10543762078609,-5.07704712450609,1.79598353549457,-2.28143889832661
18.723164835188,4.07857565784837,-5.04206746334347,1.85275506280132,-2.35204956983782
19.27384615387,4.05070083891935,-5.00613696872888,1.909363077832,-2.42250093654008
19.824527472552,4.0217862294298,-4.96922197957013,1.96578606836998,-2.49276922272025
20.375208791234,3.99184526252949,-4.93128626629532,2.02200861221864,-2.56281466358585
20.925890109916,3.96092093621517,-4.89229492158848,2.07800878761622,-2.63258779943301
21.476571428598,3.92905787262942,-4.85220946817189,2.13375672089097,-2.70203161281535
22.02725274728,3.89628342037222,-4.81099638711232,2.18921335281923,-2.77107795082726
22.577934065962,3.86261839624802,-4.76863306432651,2.24432603026301,-2.83966002245397
23.128615384644,3.82807347611448,-4.72510923062126,2.29904118153103,-2.90772686229859
23.679296703326,3.79265492016727,-4.6804385636314,2.35331418796316,-2.9752307756046
24.229978022008,3.75636853986796,-4.63463687366703,2.40710960015756,-3.04214035319543
24.78065934069,3.7192231487363,-4.58772646664361,2.46040611909999,-3.10842225033301
25.331340659372,3.68123370480689,-4.53974356567137,2.51319776862255,-3.17406410996267
25.882021978054,3.64242080740251,-4.49072380972158,2.56548729776448,-3.23905279233243
26.432703296736,3.60280588849363,-4.4407002654958,2.61728020078916,-3.30339217567935
26.983384615418,3.56240870509108,-4.38969484290969,2.6685825641453,-3.36707603492091
27.5340659341,3.52124415447416,-4.33773317124564,2.71939495000264,-3.43010312659922
28.084747252782,3.47931886927671,-4.28483609818696,2.76970881172247,-3.49247674383464
28.635428571464,3.43663530088201,-4.23100944447715,2.81950955327345,-3.554188308542
29.186109890146,3.39319384131419,-4.17625608209312,2.86877960222865,-3.61522203441357
29.736791208828,3.34898799160967,-4.12058057210144,2.9174946971106,-3.67556315943642
30.28747252751,3.30402422596156,-4.06398650096309,2.96563389679629,-3.73519402103727
30.838153846192,3.25830197049975,-4.00647157877922,3.01317137638874,-3.79409049053302
31.388835164874,3.21182521150941,-3.94802941637424,3.06009232298053,-3.85221865057145
31.939516483556,3.16460354776438,-3.88865735515032,3.10637317704559,-3.90954101339618
32.490197802238,3.11664679548908,-3.82836369263045,3.1520040249953,-3.96602561263005
33.04087912092,3.06796990864066,-3.76716607036818,3.1969662322947,-4.02164887176823
33.591560439602,3.0185821707744,-3.7050877943523,3.24124724418677,-4.07639605177943
34.142241758284,2.96850255989326,-3.64215254207514,3.28483550303901,-4.13026495126524
34.692923076966,2.91774229992016,-3.57838158300755,3.3277171991893,-4.18324860090884
35.243604395648,2.86631262460214,-3.51379236587839,3.36987954569199,-4.23532204161922
35.79428571433,2.81422673857769,-3.44839953248602,3.41130847999422,-4.28646770422029
36.344967033012,2.76149555397753,-3.38221578840336,3.45199324911366,-4.33668111063121
