# Time    Second_Integral_Real    Second_Integral_Imag
-89.999420000000001 0.005122561868671 -0.006946398932905
-89.800179999999997 0.005099327706001 -0.007007657617906
-89.600939999999994 0.005075391135435 -0.007068426424089
-89.399789999999996 0.005050750928647 -0.007128696658407
-89.200540000000004 0.005025405911214 -0.007188459604803
-88.999399999999994 0.004999354963249 -0.007247706552650
-88.800150000000002 0.004972597019249 -0.007306428770937
-88.600890000000007 0.004945131068633 -0.007364617535019
-88.399730000000005 0.004916956155641 -0.007422264103393
-88.200460000000007 0.004888071379884 -0.007479359738166
-87.999300000000005 0.004858475896206 -0.007535895688060
-87.800039999999996 0.004828168915179 -0.007591863206534
-87.600769999999997 0.004797149703023 -0.007647253536048
-87.399600000000007 0.004765417582006 -0.007702057925975
-87.200329999999994 0.004732971930507 -0.007756267613291
-86.999160000000003 0.004699812183265 -0.007809873844124
-86.799890000000005 0.004665937831491 -0.007862867854528
-86.600610000000003 0.004631348423067 -0.007915240890981
-86.399429999999995 0.004596043562675 -0.007966984193149
-86.200149999999994 0.004560022912034 -0.008018089008706
-86.000870000000006 0.004523286189960 -0.008068546582118
-85.799689999999998 0.004485833172552 -0.008118348168626
-85.600399999999993 0.004447663693386 -0.008167485018722
-85.399220000000000 0.004408777643555 -0.008215948396086
-85.199929999999995 0.004369174971912 -0.008263729561822
-85.000649999999993 0.004328855685064 -0.008310819791666
-84.799459999999996 0.004287819847614 -0.008357210361904
-84.600160000000002 0.004246067582220 -0.008402892561265
-84.400869999999998 0.004203599069741 -0.008447857682478
-84.199680000000001 0.004160414549263 -0.008492097033582
-84.000389999999996 0.004116514318372 -0.008535601925072
-83.799189999999996 0.004071898733038 -0.008578363685267
-83.599890000000002 0.004026568207926 -0.008620373647011
-83.400589999999994 0.003980523216243 -0.008661623162512
-83.199389999999994 0.003933764290042 -0.008702103591529
-83.000090000000000 0.003886292020146 -0.008741806311190
-82.800780000000003 0.003838107056338 -0.008780722709511
-82.599580000000003 0.003789210107265 -0.008818844194780
-82.400270000000006 0.003739601940748 -0.008856162184659
-82.199070000000006 0.003689283383549 -0.008892668119643
-81.999759999999995 0.003638255321711 -0.008928353451614
-81.800439999999995 0.003586518700297 -0.008963209656886
-81.599230000000006 0.003534074523712 -0.008997228226077
-81.399919999999995 0.003480923855533 -0.009030400672423
-81.200599999999994 0.003427067818706 -0.009062718526692
-80.999390000000005 0.003372507595354 -0.009094173345204
-80.800070000000005 0.003317244427107 -0.009124756700288
-80.600750000000005 0.003261279614753 -0.009154460192737
-80.399529999999999 0.003204614518571 -0.009183275442572
-80.200209999999998 0.003147250558092 -0.009211194096499
-80.000879999999995 0.003089189212298 -0.009238207823645
-79.799660000000003 0.003030432019365 -0.009264308322697
-79.600340000000003 0.002970980576994 -0.009289487313376
-79.399109999999993 0.002910836542004 -0.009313736547513
-79.199780000000004 0.002850001630698 -0.009337047799901
-79.000460000000004 0.002788477618426 -0.009359412879080
-78.799229999999994 0.002726266339925 -0.009380823619325
-78.599900000000005 0.002663369688999 -0.009401271887102
-78.400570000000002 0.002599789618706 -0.009420749577661
-78.199340000000007 0.002535528141019 -0.009439248621320
-78.000010000000003 0.002470587327165 -0.009456760975810
-77.800669999999997 0.002404969307116 -0.009473278636771
-77.599440000000001 0.002338676269917 -0.009488793630291
-77.400109999999998 0.002271710463320 -0.009503298018856
-77.200770000000006 0.002204074193951 -0.009516783898390
-76.999539999999996 0.002135769826926 -0.009529243404036
-76.800200000000004 0.002066799786176 -0.009540668703088
-76.600870000000000 0.001997166553876 -0.009551052004848
-76.399630000000002 0.001926872670776 -0.009560385553707
-76.200289999999995 0.001855920735770 -0.009568661634712
-75.999049999999997 0.001784313406071 -0.009575872570601
-75.799719999999994 0.001712053396801 -0.009582010726442
-75.600380000000001 0.001639143481150 -0.009587068506762
-75.399140000000003 0.001565586489926 -0.009591038360835
-75.199799999999996 0.001491385311860 -0.009593912776286
-75.000460000000004 0.001416542892976 -0.009595684288159
-74.799220000000005 0.001341062236883 -0.009596345472694
-74.599869999999996 0.001264946404307 -0.009595888952290
-74.400530000000003 0.001188198513203 -0.009594307393331
-74.199290000000005 0.001110821738269 -0.009591593511014
-73.999949999999998 0.001032819311234 -0.009587740063455
-73.800600000000003 0.000954194520171 -0.009582739860195
