# Time    cumulative_phase    amplitude    omega
-100.000000000000000 1.692467325175004 0.000004348255258 -0.001185573985900
-99.800870000000003 1.692231241827191 0.000004355840614 -0.001188641912308
-99.599840000000000 1.691993936647008 0.000004363486987 -0.001183550978073
-99.400700000000001 1.691759880814664 0.000004371050204 -0.001178443117379
-99.199680000000001 1.691524609891080 0.000004378674405 -0.001173419379472
-99.000540000000001 1.691292554812595 0.000004386215818 -0.001168387774129
-98.799509999999998 1.691059287776156 0.000004393818151 -0.001163440755939
-98.600380000000001 1.690829202897135 0.000004401337977 -0.001158475967111
-98.399349999999998 1.690597913137494 0.000004408918543 -0.001153585490038
-98.200209999999998 1.690369775939873 0.000004416416832 -0.001148678406023
-97.999179999999996 1.690140440475511 0.000004423975754 -0.001143855331580
-97.800039999999996 1.689914224115518 0.000004431452695 -0.001133641406580
-97.600899999999996 1.689688956448927 0.000004438918881 -0.001134245170748
-97.399860000000004 1.689462499633815 0.000004446445223 -0.001129503055808
-97.200720000000004 1.689239120561921 0.000004453889673 -0.001124734830726
-96.999690000000001 1.689014562740131 0.000004461393977 -0.001120089106507
-96.800529999999995 1.688793033874363 0.000004468817058 -0.001115443021122
-96.599469999999997 1.688570326402538 0.000004476299871 -0.001110811980562
-96.400310000000005 1.688350641894985 0.000004483700936 -0.001106144815464
-96.199259999999995 1.688129793168332 0.000004491161136 -0.001101547809158
-96.000090000000000 1.687911939464509 0.000004498539623 -0.001091768108867
-95.800929999999994 1.687694985601295 0.000004505906893 -0.001092440269564
-95.599860000000007 1.687476864202753 0.000004513333098 -0.001087952468842
-95.400679999999994 1.687261697651053 0.000004520677597 -0.001083414214734
-95.199610000000007 1.687045383657593 0.000004528080178 -0.001078930036588
-95.000429999999994 1.686832002974682 0.000004535401054 -0.001074418857491
-94.799359999999993 1.686617485603409 0.000004542779549 -0.001070001286375
-94.600170000000006 1.686405864262370 0.000004550076614 -0.001065563109837
-94.399090000000001 1.686193114439285 0.000004557430824 -0.001061165899223
-94.199900000000000 1.685983244331346 0.000004564703282 -0.001051759051322
-94.000720000000001 1.685774240879505 0.000004571963289 -0.001052390085477
-93.799639999999997 1.685564119455903 0.000004579279677 -0.001048087538683
-93.600449999999995 1.685356829536349 0.000004586514524 -0.001043761407147
-93.399349999999998 1.685148431037893 0.000004593805330 -0.001039469333543
-93.200159999999997 1.684942850479572 0.000004601014282 -0.001035157711883
-92.999070000000003 1.684736169127558 0.000004608278541 -0.001030900123846
-92.799869999999999 1.684532284196250 0.000004615460899 -0.001021805205446
-92.600669999999994 1.684329224986437 0.000004622630032 -0.001022479171592
-92.399559999999994 1.684125071641371 0.000004629853828 -0.001018297184151
-92.200360000000003 1.683923677949877 0.000004636995628 -0.001014080871426
-91.999250000000004 1.683721203793517 0.000004644191318 -0.001009920039710
-91.800039999999996 1.683521467194863 0.000004651304955 -0.001001007745285
-91.600830000000002 1.683322542448880 0.000004658404549 -0.001001668946402
-91.399709999999999 1.683122542520268 0.000004665557391 -0.000997584308349
-91.200490000000002 1.682925244522237 0.000004672628083 -0.000993459178868
-90.999369999999999 1.682726887467693 0.000004679751130 -0.000989386778112
-90.800150000000002 1.682531211343986 0.000004686791962 -0.000980665580195
-90.600920000000002 1.682336327593724 0.000004693817895 -0.000981318248918
-90.399789999999996 1.682140391538172 0.000004700895515 -0.000977316288215
-90.200550000000007 1.681947101608779 0.000004707890803 -0.000973282592236
-89.999420000000001 1.681752772012988 0.000004714936811 -0.000969299140000
-89.800179999999997 1.681561068533283 0.000004721900415 -0.000960758949167
-89.600939999999994 1.681370140153893 0.000004728848227 -0.000961408054287
-89.399789999999996 1.681178178161583 0.000004735845979 -0.000957500436561
-89.200540000000004 1.680988806030028 0.000004742761195 -0.000953553497928
-88.999399999999994 1.680798415945498 0.000004749725398 -0.000949658480539
-88.800150000000002 1.680610595043569 0.000004756606981 -0.000941289594860
-88.600890000000007 1.680423537951449 0.000004763471805 -0.000941921279489
-88.399730000000005 1.680235465474799 0.000004770384653 -0.000938095968296
-88.200460000000007 1.680049931851116 0.000004777214743 -0.000934222637000
-87.999300000000005 1.679863401967388 0.000004784091966 -0.000930404170749
-87.800039999999996 1.679679389086073 0.000004790886337 -0.000922213208005
-87.600769999999997 1.679496121335168 0.000004797662874 -0.000922822966517
-87.399600000000007 1.679311865611428 0.000004804485418 -0.000919059661552
-87.200329999999994 1.679130096634358 0.000004811224958 -0.000915272347011
-86.999160000000003 1.678947349246507 0.000004818009631 -0.000911530780480
-86.799890000000005 1.678767070385724 0.000004824711207 -0.000903506065245
-86.600610000000003 1.678587518920963 0.000004831393783 -0.000904099740840
-86.399429999999995 1.678407003622937 0.000004838120249 -0.000900406804771
-86.200149999999994 1.678228922906895 0.000004844763431 -0.000892463848365
-86.000870000000006 1.678051570970687 0.000004851386643 -0.000893031722401
-85.799689999999998 1.677873264093132 0.000004858052504 -0.000889398595003
-85.600399999999993 1.677697359086241 0.000004864635060 -0.000885744123631
-85.399220000000000 1.677520507638454 0.000004871259279 -0.000882120836627
-85.199929999999995 1.677346045641846 0.000004877799925 -0.000874330071498
-85.000649999999993 1.677172296944179 0.000004884319317 -0.000874887195556
-84.799459999999996 1.676997613067344 0.000004890879113 -0.000871324230049
-84.600160000000002 1.676825283356320 0.000004897355214 -0.000863639750679
-84.400869999999998 1.676653659900239 0.000004903809263 -0.000864181794214
-84.199680000000001 1.676481114314956 0.000004910302112 -0.000860646592716
-84.000389999999996 1.676310898788224 0.000004916710978 -0.000857108544060
